DOB,sex_assigned_at_birth,local_authority,distance_km,purpose,club_member,can_swim_25m,swimming_lesson_history,school_swim_provision,open_water_confidence,water_safety_knowledge,barriers,cost_per_session_gbp,visits_Jan,visits_Feb,visits_Mar,visits_Apr,visits_May,visits_Jun,visits_Jul,visits_Aug,visits_Sep,visits_Oct,visits_Nov,visits_Dec
10/08/1971,Female,Gwynedd,10.8,Fitness,FALSE,TRUE,Currently attending,N/A,4,2,Confidence,3.42,1,1,3,1,3,3,6,12,5,3,1,2
14/09/2008,Male,Blaenau Gwent,10.5,Leisure,TRUE,TRUE,Attended as a child,N/A,3,3,Transport,4.78,1,3,3,3,7,3,7,6,5,0,2,3
15/11/1951,Female,Anglesey,8.3,Leisure,FALSE,TRUE,Attended as a child,N/A,4,5,Transport,4.1,2,1,1,3,1,5,3,4,5,1,6,2
30/06/1862,Male,Powys,9.7,Fitness,FALSE,TRUE,Private lessons,N/A,4,5,Confidence,5.65,3,3,2,6,4,3,4,11,2,2,3,1
17/07/2002,Female,Merthyr Tydfil,1.5,Competitive training,TRUE,TRUE,Never attended lessons,N/A,2,4,Time,4.62,3,2,3,2,4,5,2,1,2,2,3,5
13/04/1948,Female,Conwy,9.6,Fitness,FALSE,TRUE,Private lessons,N/A,3,4,Cost,2.55,1,2,1,5,7,8,10,6,3,2,1,1
22/01/1948,Male,Torfaen,7,Social,FALSE,TRUE,Attended as a child,N/A,3,3,Cost,2.75,3,4,9,3,7,9,2,1,7,2,2,1
19/04/1999,Female,Torfaen,3.2,Leisure,FALSE,TRUE,Attended as a child,N/A,1,4,Cost,5.44,2,1,1,2,3,6,4,3,4,3,5,1
13/07/2020,Male,Monmouthshire,5.9,Leisure,TRUE,TRUE,Attended as a child,Irregular,5,3,None,5.59,2,2,2,6,2,9,8,6,4,4,6,2
02/12/2001,Female,Conwy,5.4,Competitive training,TRUE,TRUE,School-only lessons,N/A,2,4,Transport,6,0,1,2,4,6,0,4,5,3,1,0,3
13/09/1970,Male,Conwy,,Competitive training,TRUE,TRUE,Currently attending,N/A,3,5,Confidence,1.86,2,2,3,2,4,8,1,7,3,4,6,1
15/04/2021,Male,Merthyr Tydfil,4,Fitness,FALSE,TRUE,Attended as a child,Irregular,3,3,Cost,7.12,3,3,1,3,-7,7,3,5,1,3,4,1
