Questionnaire Number	Column1	Age	_1	Gender assigned at birth	Preference	Game Player Movement	_2	Have you visited Wales on holiday?	Do you holiday in the UK or abroad?	On Average how long would you be on holiday (in days)?	"Which area of Wales would you be most likely to visit? North, South, East, West"	"What type of holiday would you prefer to go on? 1 = Relaxing seaside break, 2= Sight seeing, 3= Historical, 4 = Adventurous "
1		18.1		male	 game	arrow keys		No	UK	14	North	4
2		16.2		female	animation	wasd		No	abroad	7	West	1
3		10.2		male	game	wasd		No	abroad	7	South	4
4		10.2		male	game	wasd		No	abroad	8	South	3
5		10.2		male	game	wasd		No	abroad	11	East	4
6		10.2		female	game	wasd			UK	4	West	3
7		17.3		female	 animation	arrow keys			abroad	5	North	2
8		10.5		male	game	wasd			UK	4	East	2
9		10.7		male	game	wasd			abroad	7	South	4
10		10.85		female	 animation	wasd			UK	6	West	1
11		16.5		female	animation	arrow keys			UK	13	North	2
12		10.34		male	animation	wasd			UK	5	East	2
13		11.48		male	 animation	wasd			abroad	14	West	1
14		17.3		female	animation	wasd			UK	12	East	1
15		9.76		female	animation	wasd			UK	11	North	4
16		11.9		male	animation	wasd			abroad	10	North	1
17		11.1		male	animation	wasd			UK	9	South	3
18		11.2		female	 animation	wasd			UK	13	West	3
19		19.2		female	animation	arrow keys			abroad	13	East	2
20		12.2		male	 animation	wasd			UK	10	North	2
21		12.2		male	game	wasd			abroad	8	North	4
22		12.3		female	animation	wasd			UK	4	West	3
23		12.5		female	game	wasd		No	UK	5	South	2
24		12.7		male	animation	wasd		No	UK	11	North	2
25		8.85		male	game	wasd		No	abroad	12	West	2
26		17.2		female	game	wasd		No	UK	7	East	1
27		14.4		female	game	arrow keys		No	UK	7	West	2
28		10.48		male	game	wasd		No	UK	9	North	1
29		10.62		male	animation	wasd		No	abroad	8	North	2
30		10.76		male	game	wasd		No	UK	14	West	3
31		10.9		female	game	wasd		No	abroad	5	West	1
32		15.5		male	 game	arrow keys		No	UK	10	South	1
33		16.7		male	game	arrow keys		No	UK	6	West	3
34		17.7		male	game	arrow keys		No	abroad	6	South	1
35		10.32		male	game	wasd		No	abroad	12	South	3
36		10.3		male	 game	wasd		No	UK	5	South	3
37		17.2		male	game	arrow keys		No	UK	7	South	1
38		16.1		male	game	arrow keys		No	abroad	11	North	1
39		16.1		male	game	arrow keys		No	abroad	10	West	1
40		16.1		male	game	arrow keys		No	abroad	4	South	4
41		10.1		female	game	wasd		No	abroad	4	West	3
42		10.1		female	game	wasd		No	abroad	6	East	1
43		10.1		female	game	wasd		No	UK	6	North	4
44		13.3		female	 game	wasd		No	abroad	5	South	2
45		10.5		female	 game	wasd		No	UK	11	East	4
46		10.7		female	game	wasd		No	abroad	12	East	2
47		10.85		female	animation	wasd		No	UK	13	East	3
48		10.2		male	animation	wasd		No	UK	11	West	3
49		10.34		male	animation	wasd		No	UK	7	East	1
50		10.48		male	animation	wasd		No	abroad	8	South	3
51		18.62		female	 animation	arrow keys		No	UK	13	West	2
52		11.76		male	animation	wasd		No	UK	4	South	1
53		11.9		female	animation	wasd		No	abroad	9	South	2
54		11.1		male	animation	wasd		No	abroad	7	West	4
55		11.1		female	animation	wasd		No	UK	13	South	3
56		11.1		male	animation	wasd		No	UK	11	West	3
57		11.3		female	animation	wasd		No	abroad	4	East	3
58		15.2		male	animation	arrow keys		No	abroad	6	West	1
59		12.2		female	animation	wasd		No	abroad	9	South	2
60		12.2		male	animation	wasd		No	UK	13	North	3
61		12.3		female	animation	wasd		No	abroad	9	East	1
62		15.5		male	animation	arrow keys		No	UK	14	North	1
63		12.7		female	animation	wasd		No	abroad	8	North	1
64		13.85		male	animation	wasd		No	UK	12	East	4
65		13.2		female	animation	wasd			UK	13	North	3
66		13.4		male	animation	wasd			abroad	14	East	3
67		13.45		female	animation	wasd			UK	4	North	2
68		13.7		male	animation	wasd			UK	13	South	2
69		13.23		female	animation	wasd			UK	14	North	1
70		14.26		male	 game	arrow keys			abroad	12	East	4
71		14.75		female	game	arrow keys		No	abroad	7	North	1
72		14.2		male	game	arrow keys		No	abroad	12	South	3
73		15.2		female	game	arrow keys		No	UK	10	West	4
74		15.3		male	game	arrow keys		No	abroad	12	East	2
75		15.5		female	game	arrow keys		No	UK	13	North	2
76		15.7		male	game	arrow keys		No	UK	13	West	4
77		15.85		female	animation	arrow keys		No	abroad	5	North	4
78		15.2		male	animation	arrow keys		No	UK	14	North	4
79		16.4		female	animation	arrow keys		No	UK	12	East	3
80		16.45		male	animation	arrow keys		No	abroad	9	East	1
81		16.7		female	animation	arrow keys		No	abroad	5	North	1
82		16.7		female	animation	arrow keys		No	UK	11	East	4
83		16.23		male	animation	arrow keys		No	UK	8	East	2
84		16.26		female	animation	arrow keys		No	UK	12	West	3
85		17.75		male	animation	arrow keys		No	UK	7	South	3
86		17.2		female	game	arrow keys		No	abroad	8	North	3
87		17.2		male	game	arrow keys		No	abroad	5	West	3
88		18.3		female	game	arrow keys		No	abroad	9	North	4
89		18.5		male	game	arrow keys		No	abroad	8	West	2
90		18.7		female	game	arrow keys		No	UK	6	West	4
91		18.85		male	game	arrow keys		No	UK	14	South	3
92		18.2		male	game	arrow keys			abroad	9	East	3
93		18.4		male	game	arrow keys		No	UK	11	West	2
94		18.45		female	game	arrow keys		No	abroad	10	North	4
95		18.7		male	game	arrow keys		Yes	abroad	8	West	1
96		18.23		male	game	arrow keys		No	abroad	4	West	2
97		19.26		male	game	arrow keys		No	UK	12	West	2
98		19.75		female	animation	arrow keys		Yes	UK	4	East	3
99		19.3		male	animation	arrow keys			UK	4	West	3
100		19.2		female	animation	arrow keys			abroad	11	North	4
18		11.2		female	 animation	wasd			UK	4	South	3
19		19.2		female	animation	arrow keys			abroad	14	West	2
20		12.2		male	 animation	wasd			UK	8	North	2
21		12.2		male	game	wasd			abroad	14	East	4
90		18.7		female	game	arrow keys		No	abroad	10	West	4
